field,pi_record_no,place,same as,part of
seller_loc_1,K-428,"Paris, France",tgn/7008038,
seller_loc_1,K-429,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-430,"Paris, France",tgn/7008038,
seller_loc_1,K-431,"Paris, France",tgn/7008038,
seller_loc_1,K-432,"Paris, France",tgn/7008038,
seller_loc_1,K-433,"Paris, France",tgn/7008038,
seller_loc_1,K-434,"Paris, France",tgn/7008038,
seller_loc_1,K-436,"Paris, France",tgn/7008038,
seller_loc_1,K-437,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-438,"Paris, France",tgn/7008038,
seller_loc_1,K-439,"Paris, France",tgn/7008038,
seller_loc_1,K-440,"Paris, France",tgn/7008038,
seller_loc_1,K-442,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-448,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-449,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-450,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-451,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-452,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-453,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-454,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-455,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-456,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-457,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-458,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-459,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-460,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-461,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-462,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-463,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-465,"Chicago, IL, USA",tgn/7013596,
seller_loc_1,K-468,"Philadelphia, PA, USA",tgn/7014406,
seller_loc_1,K-469,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-472,"Philadelphia, PA, USA",tgn/7014406,
seller_loc_1,K-474,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-475,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-476,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-477,"Saint Louis, MO, USA",tgn/7014444,
seller_loc_1,K-478,"Saint Louis, MO, USA",tgn/7014444,
seller_loc_1,K-479,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-480,"Pawtucket, RI, USA",tgn/2095048,
seller_loc_1,K-481,"North Easton, MA, USA",tgn/7014238,
seller_loc_1,K-482,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-483,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-484,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-485,"Brooklyn, NY, USA",tgn/7015822,
seller_loc_1,K-488,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-489,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-490,"Richmond, VA, USA",tgn/7013964,
seller_loc_1,K-491,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-492,"München, Deutschland",tgn/7004333,
seller_loc_1,K-493,"München, Deutschland",tgn/7004333,
seller_loc_1,K-494,"München, Deutschland",tgn/7004333,
seller_loc_1,K-495,"München, Deutschland",tgn/7004333,
seller_loc_1,K-496,"Brooklyn, NY, USA",tgn/7015822,
seller_loc_1,K-498,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-500,"Baltimore, MD, USA",tgn/7013352,
seller_loc_1,K-501,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-502,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-503,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-504,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-505,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-506,"Philadelphia, PA, USA",tgn/7014406,
seller_loc_1,K-507,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-508,"New York, NY, USA",tgn/7007567,
seller_loc_1,K-509,"München, Deutschland",tgn/7004333,
seller_loc_1,K-510,"München, Deutschland",tgn/7004333,
seller_loc_1,K-511,"London, England, UK",tgn/7011781,
seller_loc_1,K-512,"London, England, UK",tgn/7011781,
seller_loc_1,K-513,"London, England, UK",tgn/7011781,
seller_loc_1,K-514,"London, England, UK",tgn/7011781,
seller_loc_1,K-515,"London, England, UK",tgn/7011781,
seller_loc_1,K-516,"Paris, France",tgn/7008038,
seller_loc_1,K-517,"Paris, France",tgn/7008038,
seller_loc_1,K-518,"Paris, France",tgn/7008038,
seller_loc_1,K-519,"Paris, France",tgn/7008038,
seller_loc_1,K-520,"Paris, France",tgn/7008038,
seller_loc_1,K-521,"München, Deutschland",tgn/7004333,
seller_loc_1,K-522,"München, Deutschland",tgn/7004333,
seller_loc_1,K-523,"München, Deutschland",tgn/7004333,
seller_loc_1,K-524,"München, Deutschland",tgn/7004333,
seller_loc_1,K-525,"München, Deutschland",tgn/7004333,
seller_loc_1,K-526,"München, Deutschland",tgn/7004333,
seller_loc_1,K-527,"München, Deutschland",tgn/7004333,
seller_loc_1,K-528,"München, Deutschland",tgn/7004333,
seller_loc_1,K-529,"München, Deutschland",tgn/7004333,
seller_loc_1,K-530,"München, Deutschland",tgn/7004333,
seller_loc_1,K-531,"München, Deutschland",tgn/7004333,
seller_loc_1,K-532,"München, Deutschland",tgn/7004333,
seller_loc_1,K-533,"München, Deutschland",tgn/7004333,
seller_loc_1,K-534,"München, Deutschland",tgn/7004333,
seller_loc_1,K-535,"München, Deutschland",tgn/7004333,
