field,pi_record_no,place,same as,part of
consign_loc,K-19200,Munich,tgn/7004333,
consign_loc,K-19201,Munich,tgn/7004333,
consign_loc,K-19202,Munich,tgn/7004333,
consign_loc,K-19294,Paris,tgn/7008038,
consign_loc,K-19295,Paris,tgn/7008038,
consign_loc,K-19296,Paris,tgn/7008038,
consign_loc,K-19297,Paris,tgn/7008038,
consign_loc,K-19298,Paris,tgn/7008038,
consign_loc,K-19299,Paris,tgn/7008038,
consign_loc,K-19300,Paris,tgn/7008038,
consign_loc,K-19301,Paris,tgn/7008038,
consign_loc,K-19302,Paris,tgn/7008038,
consign_loc,K-19303,Paris,tgn/7008038,
consign_loc,K-19304,Paris,tgn/7008038,
consign_loc,K-19305,Paris,tgn/7008038,
consign_loc,K-19306,Paris,tgn/7008038,
consign_loc,K-19307,Paris,tgn/7008038,
consign_loc,K-19308,Paris,tgn/7008038,
consign_loc,K-19309,Paris,tgn/7008038,
consign_loc,K-19310,Paris,tgn/7008038,
consign_loc,K-19311,Paris,tgn/7008038,
consign_loc,K-19312,Paris,tgn/7008038,
consign_loc,K-19313,Paris,tgn/7008038,
consign_loc,K-19314,Paris,tgn/7008038,
consign_loc,K-19315,Paris,tgn/7008038,
consign_loc,K-19316,Paris,tgn/7008038,
consign_loc,K-19317,Paris,tgn/7008038,
consign_loc,K-19318,Paris,tgn/7008038,
consign_loc,K-19319,Paris,tgn/7008038,
consign_loc,K-19320,Paris,tgn/7008038,
consign_loc,K-19321,Paris,tgn/7008038,
consign_loc,K-19322,Paris,tgn/7008038,
consign_loc,K-19323,Paris,tgn/7008038,
consign_loc,K-19324,Paris,tgn/7008038,
consign_loc,K-19325,Paris,tgn/7008038,
consign_loc,K-19326,Paris,tgn/7008038,
consign_loc,K-19327,Paris,tgn/7008038,
consign_loc,K-19328,Paris,tgn/7008038,
consign_loc,K-19329,Paris,tgn/7008038,
consign_loc,K-19330,Paris,tgn/7008038,
consign_loc,K-19331,Paris,tgn/7008038,
consign_loc,K-19332,Paris,tgn/7008038,
consign_loc,K-19333,Paris,tgn/7008038,
consign_loc,K-19334,Paris,tgn/7008038,
consign_loc,K-19335,Paris,tgn/7008038,
consign_loc,K-19336,Paris,tgn/7008038,
consign_loc,K-19337,Paris,tgn/7008038,
consign_loc,K-19338,Paris,tgn/7008038,
consign_loc,K-19339,Paris,tgn/7008038,
consign_loc,K-19340,Paris,tgn/7008038,
consign_loc,K-19341,Paris,tgn/7008038,
consign_loc,K-19342,Paris,tgn/7008038,
consign_loc,K-19592,Paris,tgn/7008038,
consign_loc,K-19807,Paris,tgn/7008038,
consign_loc,K-19848,Paris,tgn/7008038,
consign_loc,K-19849,Paris,tgn/7008038,
consign_loc,K-19850,Paris,tgn/7008038,
consign_loc,K-19851,Paris,tgn/7008038,
consign_loc,K-19852,Paris,tgn/7008038,
consign_loc,K-19853,Paris,tgn/7008038,
consign_loc,K-19854,Paris,tgn/7008038,
consign_loc,K-19855,Paris,tgn/7008038,
consign_loc,K-19856,Paris,tgn/7008038,
consign_loc,K-19857,Paris,tgn/7008038,
consign_loc,K-19858,Paris,tgn/7008038,
consign_loc,K-19859,Paris,tgn/7008038,
consign_loc,K-19860,Paris,tgn/7008038,
consign_loc,K-19861,Paris,tgn/7008038,
consign_loc,K-19862,Paris,tgn/7008038,
consign_loc,K-19863,Paris,tgn/7008038,
consign_loc,K-19864,Paris,tgn/7008038,
consign_loc,K-19865,Paris,tgn/7008038,
consign_loc,K-19866,Paris,tgn/7008038,
consign_loc,K-19867,Paris,tgn/7008038,
consign_loc,K-19868,Paris,tgn/7008038,
consign_loc,K-19869,Paris,tgn/7008038,
consign_loc,K-19870,Paris,tgn/7008038,
consign_loc,K-19871,Paris,tgn/7008038,
consign_loc,K-19872,Paris,tgn/7008038,
consign_loc,K-19873,Paris,tgn/7008038,
consign_loc,K-19874,Paris,tgn/7008038,
consign_loc,K-19875,Paris,tgn/7008038,
consign_loc,K-19876,Paris,tgn/7008038,
consign_loc,K-19877,Paris,tgn/7008038,
consign_loc,K-19878,Paris,tgn/7008038,
consign_loc,K-19879,Paris,tgn/7008038,
consign_loc,K-19880,Paris,tgn/7008038,
consign_loc,K-19881,Paris,tgn/7008038,
consign_loc,K-19882,Paris,tgn/7008038,
consign_loc,K-19883,Paris,tgn/7008038,
consign_loc,K-19884,Paris,tgn/7008038,
consign_loc,K-19885,Paris,tgn/7008038,
consign_loc,K-19886,Paris,tgn/7008038,
consign_loc,K-19887,Paris,tgn/7008038,
consign_loc,K-19888,Paris,tgn/7008038,
consign_loc,K-19889,Paris,tgn/7008038,
consign_loc,K-19890,Paris,tgn/7008038,
consign_loc,K-19891,Paris,tgn/7008038,
consign_loc,K-19892,Paris,tgn/7008038,
consign_loc,K-19893,Paris,tgn/7008038,
consign_loc,K-19894,Paris,tgn/7008038,
consign_loc,K-19895,Paris,tgn/7008038,
consign_loc,K-19896,Paris,tgn/7008038,
consign_loc,K-19897,Paris,tgn/7008038,
consign_loc,K-19898,Paris,tgn/7008038,
consign_loc,K-19899,Paris,tgn/7008038,
consign_loc,K-19900,Paris,tgn/7008038,
consign_loc,K-19901,Paris,tgn/7008038,
consign_loc,K-19902,Paris,tgn/7008038,
consign_loc,K-19903,Paris,tgn/7008038,
consign_loc,K-19904,Paris,tgn/7008038,
consign_loc,K-19905,Paris,tgn/7008038,
consign_loc,K-19906,Paris,tgn/7008038,
consign_loc,K-19907,Paris,tgn/7008038,
consign_loc,K-19908,Paris,tgn/7008038,
consign_loc,K-19909,Paris,tgn/7008038,
consign_loc,K-19910,Paris,tgn/7008038,
consign_loc,K-19911,Paris,tgn/7008038,
consign_loc,K-19912,Paris,tgn/7008038,
consign_loc,K-19913,Paris,tgn/7008038,
consign_loc,K-19914,Paris,tgn/7008038,
consign_loc,K-19915,Paris,tgn/7008038,
consign_loc,K-19916,Paris,tgn/7008038,
consign_loc,K-19917,Paris,tgn/7008038,
consign_loc,K-19918,Paris,tgn/7008038,
consign_loc,K-19919,Paris,tgn/7008038,
consign_loc,K-19920,Paris,tgn/7008038,
consign_loc,K-19921,Paris,tgn/7008038,
consign_loc,K-19922,Paris,tgn/7008038,
consign_loc,K-19923,Paris,tgn/7008038,
consign_loc,K-19924,Paris,tgn/7008038,
consign_loc,K-19925,Paris,tgn/7008038,
consign_loc,K-19926,Paris,tgn/7008038,
consign_loc,K-19927,Paris,tgn/7008038,
consign_loc,K-19928,Paris,tgn/7008038,
consign_loc,K-19929,Paris,tgn/7008038,
consign_loc,K-19930,Paris,tgn/7008038,
consign_loc,K-19931,Paris,tgn/7008038,
consign_loc,K-19932,Paris,tgn/7008038,
consign_loc,K-19933,Paris,tgn/7008038,
consign_loc,K-19934,Paris,tgn/7008038,
consign_loc,K-19935,Paris,tgn/7008038,
consign_loc,K-19936,Paris,tgn/7008038,
consign_loc,K-19937,Paris,tgn/7008038,
consign_loc,K-19938,Paris,tgn/7008038,
consign_loc,K-19939,Paris,tgn/7008038,
consign_loc,K-19940,Paris,tgn/7008038,
consign_loc,K-19941,Paris,tgn/7008038,
consign_loc,K-19942,Paris,tgn/7008038,
consign_loc,K-19943,Paris,tgn/7008038,
consign_loc,K-19944,Paris,tgn/7008038,
consign_loc,K-19945,Paris,tgn/7008038,
consign_loc,K-19946,Paris,tgn/7008038,
consign_loc,K-19947,Paris,tgn/7008038,
consign_loc,K-19948,Paris,tgn/7008038,
consign_loc,K-19949,Paris,tgn/7008038,
consign_loc,K-19950,Paris,tgn/7008038,
consign_loc,K-19951,Paris,tgn/7008038,
consign_loc,K-19952,Paris,tgn/7008038,
consign_loc,K-19953,Paris,tgn/7008038,
consign_loc,K-19954,Paris,tgn/7008038,
consign_loc,K-19955,Paris,tgn/7008038,
consign_loc,K-19956,Paris,tgn/7008038,
consign_loc,K-19957,Paris,tgn/7008038,
consign_loc,K-19958,Paris,tgn/7008038,
consign_loc,K-19959,Paris,tgn/7008038,
consign_loc,K-19960,Paris,tgn/7008038,
consign_loc,K-19961,Paris,tgn/7008038,
consign_loc,K-19962,Paris,tgn/7008038,
consign_loc,K-19963,Paris,tgn/7008038,
consign_loc,K-19964,Paris,tgn/7008038,
consign_loc,K-19965,Paris,tgn/7008038,
consign_loc,K-19966,Paris,tgn/7008038,
consign_loc,K-19967,Paris,tgn/7008038,
consign_loc,K-19968,Paris,tgn/7008038,
consign_loc,K-19969,Paris,tgn/7008038,
consign_loc,K-19970,Paris,tgn/7008038,
consign_loc,K-19971,Paris,tgn/7008038,
consign_loc,K-19972,Paris,tgn/7008038,
consign_loc,K-19973,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19974,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19975,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19976,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19977,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19978,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19979,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19980,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19981,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19982,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19983,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19984,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19985,22 Rue La Bruyère Paris,tgn/7008038,
consign_loc,K-19986,Paris,tgn/7008038,
consign_loc,K-19987,Bremen,tgn/7201364,
consign_loc,K-19988,Bremen,tgn/7201364,
consign_loc,K-19989,Paris,tgn/7008038,
consign_loc,K-19990,Paris,tgn/7008038,
consign_loc,K-19991,Paris,tgn/7008038,
consign_loc,K-20006,Paris,tgn/7008038,
consign_loc,K-20007,Paris,tgn/7008038,
consign_loc,K-20008,Paris,tgn/7008038,
consign_loc,K-20009,Paris,tgn/7008038,
consign_loc,K-20010,Paris,tgn/7008038,
consign_loc,K-20011,Paris,tgn/7008038,
consign_loc,K-20012,Paris,tgn/7008038,
consign_loc,K-20013,Dusseldorf,tgn/7004443,
consign_loc,K-20014,Dusseldorf,tgn/7004443,
consign_loc,K-20015,Dusseldorf,tgn/7004443,
consign_loc,K-20016,Dusseldorf,tgn/7004443,
consign_loc,K-20017,Paris,tgn/7008038,
consign_loc,K-20019,Paris,tgn/7008038,
consign_loc,K-20020,Boston,tgn/7013445,
consign_loc,K-23108,Paris,tgn/7008038,
prev_own_loc_1,K-9320,Budapest,tgn/7006280,
prev_own_loc_1,K-9592,Budapest,tgn/7006280,
prev_own_loc_1,K-10633,Wycombe Abbey,tgn/7011900,
prev_own_loc_1,K-10688,Paris,tgn/7008038,
prev_own_loc_1,K-10706,Frankfurt O.M.,tgn/7005293,
prev_own_loc_1,K-11412,Leith,tgn/7009547,
prev_own_loc_1,K-11803,Brussels,tgn/7007868,
prev_own_loc_1,K-11808,Paris,tgn/7008038,
prev_own_loc_1,K-11907,Holker Hall,tgn/7460882,
prev_own_loc_1,K-12865,London,tgn/7011781,
prev_own_loc_1,K-13227,Paris,tgn/7008038,
prev_own_loc_1,K-13707,Paris,tgn/7008038,
prev_own_loc_1,K-13732,Paris,tgn/7008038,
prev_own_loc_1,K-13783,Paris,tgn/7008038,
prev_own_loc_1,K-14027,Edinburgh,tgn/7009546,
prev_own_loc_1,K-14461,Paris,tgn/7008038,
prev_own_loc_1,K-14469,Paris,tgn/7008038,
prev_own_loc_1,K-14656,The Hague,tgn/7006810,
prev_own_loc_1,K-19396,Norwich,tgn/7012005,
prev_own_loc_1,K-19438,Horton Hall Cheshire,tgn/7008114,
prev_own_loc_1,K-20215,Paris,tgn/7008038,
prev_own_loc_1,K-20216,Paris,tgn/7008038,
prev_own_loc_1,K-20217,Paris,tgn/7008038,
prev_own_loc_1,K-20218,Paris,tgn/7008038,
prev_own_loc_1,K-20253,Glasgow,tgn/7017283,
