loc_verbatim,loc_name,loc_auth,,
17 Boulevard Malesberbes,17 boulevard Malesberbes,"Paris, France",,
17 Boulevard Malesherbes,17 boulevard Malesherbes,"Paris, France",,
17 rue Caumartin,17 rue Caumartin,"Paris, France",,
17 Rue d'Athènes,17 rue d'Athènes,"Paris, France",,
17 Rue d'Hauteville,17 rue d'Hauteville,"Paris, France",,
17 Rue de l'échiquier,17 rue de l'Échiquier,"Paris, France",,
17 rue de la faisanderie,17 rue de la Faisanderie,"Paris, France",,
17 rue de la Faisanderie,17 rue de la Faisanderie,"Paris, France",,
17 Rue de Navarin,17 rue de Navarin,"Paris, France",,
17 rue Duperré,17 rue Duperré,"Paris, France",,
"17 Rue Grange Batelière, Paris",17 rue Grange Batelière,"Paris, France",,
"17 rue Saint jean, Boulogne Sur mer",17 rue Saint Jean,"Boulogne sur Mer, France
",,
"17, rue Caumartin",17 rue Caumartin,"Paris, France",,
172 Boulevard Saint Germain,172 boulevard Saint Germain,"Paris, France",,
178 bis Rue de Grenelle,178 bis rue de Grenelle,"Paris, France",,
"18 avenue de la Toison d'or, Brussels",18 avenue de la Toison d'or,"Brussels, Belgium",,
18 rue Ballu,18 rue Ballu,"Paris, France",,
18 rue Caumartin,18 rue Caumartin,"Paris, France",,
18 Rue Caumartin,18 rue Caumartin,"Paris, France",,
18 Rue de Boulogne,18 rue de Boulogne,"Paris, France",,
18 rue de Chabrol,18 rue de Chabrol,"Paris, France",,
18 Rue de l'abreuvoir,18 rue de l'Abreuvoir,"Paris, France",,
18 rue du Lycée Molière,18 rue du Lycée Molière,"Paris, France",,
18 Rue Laffitte,18 rue Laffitte,"Paris, France",,
18 Rue Milton,18 rue Milton,"Paris, France",,
18 rue Royale,18 rue Royale,"Paris, France",,
183 Faubourg Poissonnière,183 rue Faubourg Poissonnière,"Paris, France",,
19 rue Caumartin,19 rue Caumartin,"Paris, France",,
19 rue de Douai,19 rue de Douai,"Paris, France",,
19 rue de la faisanderie,19 rue de la Faisanderie,"Paris, France",,
19 rue de Marignan,19 rue de Marignan,"Paris, France",,
19 Rue des Pretres Saint Germain l'Auxerois,19 rue des Pretres Saint Germain l'Auxerois,"Paris, France",,
"19 Rue du Grand chemin, Roubaix",19 rue du Grand chemin,"Roubaix, France",,
19 Rue la Bruyère,19 rue la Bruyère,"Paris, France",,
19 rue Montyon,19 rue Montyon,"Paris, France",,
"19 rue Poncelet, Paris",19 rue Poncelet,"Paris, France",,
